protein1 protein2 experimental database textmining combined_score
511145.b0015 511145.b3309 487 0 0 486
511145.b0015 511145.b3908 457 0 0 457
511145.b0015 511145.b3185 457 0 0 457
511145.b0015 511145.b3294 484 0 0 483
511145.b0015 511145.b2745 464 0 0 463
511145.b0015 511145.b2260 279 0 0 279
511145.b0015 511145.b1701 279 0 0 279
511145.b0015 511145.b1860 406 0 0 406
511145.b0015 511145.b3341 445 0 0 445
511145.b0015 511145.b2195 357 0 138 422
511145.b0015 511145.b3137 218 0 0 218
511145.b0015 511145.b0476 199 0 0 199
511145.b0015 511145.b3527 282 0 0 282
511145.b0015 511145.b4143 74 0 283 307
511145.b0015 511145.b2284 279 0 0 279
511145.b0015 511145.b2542 177 0 0 177
511145.b0015 511145.b3783 158 0 399 472
511145.b0015 511145.b3231 480 0 0 480
511145.b0015 511145.b3305 461 0 0 461
511145.b0015 511145.b1162 276 0 93 315
511145.b0015 511145.b0646 206 0 63 224
511145.b0015 511145.b4309 199 0 0 199
511145.b0015 511145.b2127 276 0 93 315
511145.b0015 511145.b1276 283 0 65 300
511145.b0015 511145.b3927 243 0 0 242
511145.b0020 511145.b3585 0 0 230 229
511145.b0020 511145.b0881 457 0 0 457
511145.b0020 511145.b2741 0 0 255 255
511145.b0020 511145.b0338 0 0 257 256
511145.b0023 511145.b3308 945 0 0 945
511145.b0023 511145.b0169 945 720 0 984
511145.b0023 511145.b3988 800 0 0 800
511145.b0023 511145.b0949 465 0 0 465
511145.b0023 511145.b2938 457 0 0 457
511145.b0023 511145.b3985 935 0 0 935
511145.b0023 511145.b3319 945 0 0 945
511145.b0023 511145.b4375 800 0 0 800
511145.b0023 511145.b3486 0 720 0 720
511145.b0023 511145.b3303 949 720 0 985
511145.b0023 511145.b3307 945 720 0 984
511145.b0023 511145.b3936 905 0 0 905
511145.b0023 511145.b3287 935 0 0 935
511145.b0023 511145.b0957 800 0 0 800
511145.b0023 511145.b3302 945 0 0 945
511145.b0023 511145.b0953 800 0 0 800
511145.b0023 511145.b2597 518 720 0 859
511145.b0023 511145.b2620 925 0 0 925
511145.b0023 511145.b3311 945 720 0 984
511145.b0023 511145.b3299 919 0 0 919
511145.b0023 511145.b2610 453 0 0 453
511145.b0023 511145.b3342 945 720 0 984
511145.b0023 511145.b3317 945 0 0 945
511145.b0023 511145.b3649 809 0 0 809
511145.b0023 511145.b1480 0 720 0 720
511145.b0023 511145.b3986 925 0 0 925
511145.b0023 511145.b3703 945 0 0 945
511145.b0023 511145.b3318 945 0 0 945
511145.b0023 511145.b2569 963 0 0 963
511145.b0023 511145.b3312 945 0 0 945
511145.b0023 511145.b2331 800 0 0 800
511145.b0023 511145.b3295 935 0 0 935
511145.b0023 511145.b4202 945 720 0 984
511145.b0023 511145.b4506 905 0 0 905
511145.b0023 511145.b3981 800 0 0 800
511145.b0023 511145.b3707 800 0 0 800
511145.b0023 511145.b3300 800 0 0 800
511145.b0023 511145.b3352 465 0 0 465
511145.b0023 511145.b0820 465 0 0 465
511145.b0023 511145.b3320 945 0 0 945
511145.b0023 511145.b3168 642 0 0 642
511145.b0023 511145.b3987 807 0 0 807
511145.b0023 511145.b3170 800 0 0 800
511145.b0023 511145.b0093 800 0 0 800
511145.b0023 511145.b3165 945 720 0 984
511145.b0023 511145.b3305 945 0 0 945
511145.b0023 511145.b3984 945 0 0 945
511145.b0023 511145.b3231 935 0 0 935
511145.b0023 511145.b3982 800 0 0 800
511145.b0023 511145.b0097 800 0 0 800
511145.b0023 511145.b1211 850 0 0 850
511145.b0023 511145.b1716 945 0 0 945
511145.b0023 511145.b3321 935 720 0 981
511145.b0023 511145.b3315 945 0 0 945
511145.b0023 511145.b3306 945 720 0 984
511145.b0023 511145.b3304 945 0 0 945
511145.b0023 511145.b2606 945 0 0 945
511145.b0023 511145.b3203 967 540 0 984
511145.b0023 511145.b3590 807 0 0 807
511145.b0023 511145.b3296 945 720 0 984
511145.b0023 511145.b3340 925 0 0 925
511145.b0023 511145.b3310 945 0 0 945
511145.b0023 511145.b1717 945 0 0 945
511145.b0023 511145.b3636 945 0 0 945
511145.b0023 511145.b3301 945 0 0 945
511145.b0023 511145.b1089 945 0 0 945
511145.b0023 511145.b3637 945 0 0 945
511145.b0023 511145.b2185 945 0 0 945
511145.b0023 511145.b3298 945 720 0 984
511145.b0023 511145.b3230 945 720 0 984
511145.b0023 511145.b0051 800 0 88 809
511145.b0023 511145.b0693 457 0 0 457
511145.b0023 511145.b2609 945 720 0 984
511145.b0023 511145.b2784 691 0 0 691
511145.b0023 511145.b3339 935 0 0 935
511145.b0023 511145.b3065 945 720 0 984
511145.b0023 511145.b3341 945 720 0 984
511145.b0023 511145.b1718 482 0 0 482
511145.b0023 511145.b3167 800 0 0 800
511145.b0023 511145.b4550 935 0 0 935
511145.b0023 511145.b0884 453 0 0 453
